ObjectType,OldID,NewID,ObjectName,FilePath,Status
Table,50025,55017,"Tipo Descuentos DGT","src/tables/Table 50025 - Tipo Descuentos DGT.al",Renumbered
Table,50026,55018,"Catalogo CaByS","src/tables/Table 50026 - Catalogo CaByS.al",Renumbered
Table,50027,55019,"TempImpuestoFE","src/tables/Table 50027 - TempImpuestoFE.al",Renumbered
Table,50028,55020,"DSN Purch. Inv. Ext","src/tables/Table 50028 - DSN Purch. Inv. Ext.al",Renumbered
Table,50029,55021,"Condicion De La Venta","src/tables/Table 50029 - Condicion De La Venta.al",Renumbered
Table,50030,55022,"Catalogo Parametros FE-DGT","src/tables/Table 50030 - Catalogo Parametros FE-DGT.al",Renumbered
Table,50040,55023,"TmpGUASalesBook","src/tables/Table 50040 - TmpGUASalesBook.al",Renumbered
Table,50041,55024,"TmpGUAPurchasesBook","src/tables/Table 50041 - TmpGUAPurchasesBook.al",Renumbered
Table,50050,55025,"Sales Invoice Header1","src/tables/Table 50050 - Sales Invoice Header1.al",Renumbered
Table,50100,55026,"Cab. Venta NopCommerce","src/tables/Table 50100 - Cab. Venta NopCommerce.al",Renumbered
Table,50101,55027,"Lin. Venta NopCommerce","src/tables/Table 50101 - Lin. Venta NopCommerce.al",Renumbered
Table,50109,55028,"DatosPonchador","src/tables/Table 50109 - DatosPonchador.al",Renumbered
Table,50110,55029,"Conf. Medios de pagos","src/tables/Table 50110 - Conf. Medios de pagos.al",Renumbered
Table,50111,55030,"Cab. Ventas SIC","src/tables/Table 50111 - Cab. Ventas SIC.al",Renumbered
Table,50112,55031,"Lineas Ventas SIC","src/tables/Table 50112 - Lineas Ventas SIC.al",Renumbered
Table,50113,55032,"Medios de Pago SIC","src/tables/Table 50113 - Medios de Pago SIC.al",Renumbered
Table,50114,55033,"Config. Caja Electronica","src/tables/Table 50114 - Config. Caja Electronica.al",Renumbered
Table,50130,55034,"Procedencia","src/tables/Table 50130 - Procedencia.al",Renumbered
Table,50134,55035,"Cursos","src/tables/Table 50134 - Cursos.al",Renumbered
Table,50135,55036,"Componentes Prod.","src/tables/Table 50135 - Componentes Prod..al",Renumbered
Table,50136,55037,"Conceptos de Cobros y Pagos","src/tables/Table 50136 - Conceptos de Cobros y Pagos.al",Renumbered
Table,50137,55038,"TMP: Ventas Liquidas","src/tables/Table 50137 - TMP Ventas Liquidas.al",Renumbered
Table,50500,55039,"Ubicaciones que no existen","src/tables/Table 50500 - Ubicaciones que no existen.al",Renumbered
Table,50800,55040,"Prueba","src/tables/Table 50800 - Prueba.al",Renumbered
Table,50900,55041,"Temp Inventario x Almacen","src/tables/Table 50900 - Temp Inventario x Almacen.al",Renumbered
Table,51001,55042,"Lista de Choferes","src/tables/Table 51001 - Lista de Choferes.al",Renumbered
Table,51003,55043,"Sales Line Buffer","src/tables/Table 51003 - Sales Line Buffer.al",Renumbered
Table,51009,55044,"Cab. Cupon","src/tables/Table 51009 - Cab. Cupon.al",Renumbered
Table,51010,55045,"Lin. Cupon","src/tables/Table 51010 - Lin. Cupon.al",Renumbered
Table,51011,55046,"Lin Cupon por Lote","src/tables/Table 51011 - Lin Cupon por Lote.al",Renumbered
Table,51012,55047,"Grado","src/tables/Table 51012 - Grado.al",Renumbered
Table,51013,55048,"Ano Escolar","src/tables/Table 51013 - Ano Escolar.al",Renumbered
Table,51014,55049,"Vendedores por Colegio","src/tables/Table 51014 - Vendedores por Colegio.al",Renumbered
Table,51015,55050,"Cab. Cupon Lote","src/tables/Table 51015 - Cab. Cupon Lote.al",Renumbered
Table,51016,55051,"Grupo Negocio - Cupon Lote","src/tables/Table 51016 - Grupo Negocio - Cupon Lote.al",Renumbered
Table,51017,55052,"Grupo Negocio - Cupon Lote reg","src/tables/Table 51017 - Grupo Negocio - Cupon Lote reg.al",Renumbered
Table,52500,55053,"NASEstatus","src/tables/Table 52500 - NASEstatus.al",Renumbered
Table,52501,55054,"Config.Facturacion Electronica","src/tables/Table 52501 - Config.Facturacion Electronica.al",Renumbered
Table,52502,55055,"Log Facturacion Electronica CR","src/tables/Table 52502 - Log Facturacion Electronica CR.al",Renumbered
Table,52503,55056,"Categoria Pedido Venta","src/tables/Table 52503 - Categoria Pedido Venta.al",Renumbered
Table,52507,55057,"Registro PDF Costos","src/tables/Table 52507 - Registro PDF Costos.al",Renumbered
Table,56000,55058,"Config. Usuarios Empresa","src/tables/Table 56000 - Config. Usuarios Empresa.al",Renumbered
Table,56001,55059,"Config. Empresa","src/tables/Table 56001 - Config. Empresa.al",Renumbered
Table,56002,55060,"Config. Max. Lineas Reportes","src/tables/Table 56002 - Config. Max. Lineas Reportes.al",Renumbered
Table,56003,55061,"Sello/Marca","src/tables/Table 56003 - SelloMarca.al",Renumbered
Table,56004,55062,"Tipo Edicion","src/tables/Table 56004 - Tipo Edicion.al",Renumbered
Table,56005,55063,"Nivel Educativo","src/tables/Table 56005 - Nivel Educativo.al",Renumbered
Table,56006,55064,"Tipos","src/tables/Table 56006 - Tipos.al",Renumbered
Table,56007,55065,"Edicion","src/tables/Table 56007 - Edicion.al",Renumbered
Table,56008,55066,"Estado productos","src/tables/Table 56008 - Estado productos.al",Renumbered
Table,56009,55067,"Tmp Cust. Payment terms","src/tables/Table 56009 - Tmp Cust. Payment terms.al",Renumbered
Table,56010,55068,"Agregar productos a Cupon","src/tables/Table 56010 - Agregar productos a Cupon.al",Renumbered
Table,56011,55069,"Lin. Consignacion a Facturar","src/tables/Table 56011 - Lin. Consignacion a Facturar.al",Renumbered
Table,56012,55070,"Lin. Consig. Dev.Transfer Line","src/tables/Table 56012 - Lin. Consig. Dev.Transfer Line.al",Renumbered
Table,56013,55071,"Docs. clas. devoluciones","src/tables/Table 56013 - Docs. clas. devoluciones.al",Renumbered
Table,56014,55072,"Reportes","src/tables/Table 56014 - Reportes.al",Renumbered
Table,56015,55073,"Cab. Identificaci n Devoluci n","src/tables/Table 56015 - Cab. Identificaci n Devoluci n.al",Renumbered
Table,56016,55074,"Lin. Identificaci n Devoluci n","src/tables/Table 56016 - Lin. Identificaci n Devoluci n.al",Renumbered
Table,56017,55075,"Lin. Consig a Facturar Movil.","src/tables/Table 56017 - Lin. Consig a Facturar Movil..al",Renumbered
Table,56018,55076,"Cab. Ident. Devoluci n Reg.","src/tables/Table 56018 - Cab. Ident. Devoluci n Reg..al",Renumbered
Table,56019,55077,"Lin. Ident. Devoluci n Reg.","src/tables/Table 56019 - Lin. Ident. Devoluci n Reg..al",Renumbered
Table,56020,55078,"Cab. Hoja de Ruta","src/tables/Table 56020 - Cab. Hoja de Ruta.al",Renumbered
Table,56021,55079,"Lin. Hoja de Ruta","src/tables/Table 56021 - Lin. Hoja de Ruta.al",Renumbered
Table,56022,55080,"Cab. Hoja de Ruta Reg.","src/tables/Table 56022 - Cab. Hoja de Ruta Reg..al",Renumbered
Table,56023,55081,"Lin. Hoja de Ruta Reg.","src/tables/Table 56023 - Lin. Hoja de Ruta Reg..al",Renumbered
Table,56024,55082,"Inventario Disp. Movil.","src/tables/Table 56024 - Inventario Disp. Movil..al",Renumbered
Table,56025,55083,"Cab. clas. devolucion","src/tables/Table 56025 - Cab. clas. devolucion.al",Renumbered
Table,56026,55084,"Lin. clas. devoluciones","src/tables/Table 56026 - Lin. clas. devoluciones.al",Renumbered
Table,56027,55085,"Doc. pendientes Cliente Movil.","src/tables/Table 56027 - Doc. pendientes Cliente Movil..al",Renumbered
Table,56028,55086,"Clas. dev. Comment Line","src/tables/Table 56028 - Clas. dev. Comment Line.al",Renumbered
Table,56029,55087,"Zonas de cobro","src/tables/Table 56029 - Zonas de cobro.al",Renumbered
Table,56030,55088,"Cab. Packing","src/tables/Table 56030 - Cab. Packing.al",Renumbered
Table,56031,55089,"Lin. Packing","src/tables/Table 56031 - Lin. Packing.al",Renumbered
Table,56032,55090,"Contenido Cajas Packing","src/tables/Table 56032 - Contenido Cajas Packing.al",Renumbered
Table,56033,55091,"Cab. Packing Registrado","src/tables/Table 56033 - Cab. Packing Registrado.al",Renumbered
Table,56034,55092,"Lin. Packing Registrada","src/tables/Table 56034 - Lin. Packing Registrada.al",Renumbered
Table,56035,55093,"Contenido Cajas Packing Reg.","src/tables/Table 56035 - Contenido Cajas Packing Reg..al",Renumbered
Table,56036,55094,"Puestos de Pcking","src/tables/Table 56036 - Puestos de Pcking.al",Renumbered
Table,56037,55095,"Sales Header Movil.","src/tables/Table 56037 - Sales Header Movil..al",Renumbered
Table,56038,55096,"Sales Line Movil.","src/tables/Table 56038 - Sales Line Movil..al",Renumbered
Table,56041,55097,"Choferes","src/tables/Table 56041 - Choferes.al",Renumbered
Table,56042,55098,"Choferes por Transportista","src/tables/Table 56042 - Choferes por Transportista.al",Renumbered
Table,56050,55099,"Crear Cupon por Lote.","src/tables/Table 56050 - Crear Cupon por Lote..al",Renumbered
Table,56053,55100,"Order Tracking buffer","src/tables/Table 56053 - Order Tracking buffer.al",Renumbered
Table,56058,55101,"Grupos de almacenes","src/tables/Table 56058 - Grupos de almacenes.al",Renumbered
Table,56059,55102,"Almacenes x Grupo","src/tables/Table 56059 - Almacenes x Grupo.al",Renumbered
Table,56060,55103,"Ajuste Divisa","src/tables/Table 56060 - Ajuste Divisa.al",Renumbered
Table,56070,55104,"Maestro de Rutas","src/tables/Table 56070 - Maestro de Rutas.al",Renumbered
Table,56071,55105,"Rutas de Hojas de Rutas","src/tables/Table 56071 - Rutas de Hojas de Rutas.al",Renumbered
Table,56086,55106,"% Provision","src/tables/Table 56086 - % Provisi n.al",Renumbered
Table,56090,55107,"Texto Configurable","src/tables/Table 56090 - Texto Configurable.al",Renumbered
Table,56100,55108,"Provisiones nominas","src/tables/Table 56100 - Provisiones nominas.al",Renumbered
Table,56101,55109,"Contratos Bck","src/tables/Table 56101 - Contratos Bck.al",Renumbered
Table,56102,55110,"Log errores revision contratos","src/tables/Table 56102 - Log errores revision contratos.al",Renumbered
Table,56200,55111,"Async NAV WS Process Queue","src/tables/Table 56200 - Async NAV WS Process Queue.al",Renumbered
Table,56201,55112,"Equiv. conceptos NAV-MdE","src/tables/Table 56201 - Equiv. conceptos NAV-MdE.al",Renumbered
Table,56202,55113,"Historial MdE","src/tables/Table 56202 - Historial MdE.al",Renumbered
